Country,City,State,Depot,Account,ShipmentStatus,ShipMethodActualDesc,ShipDate,ClearanceStatusType,ShipMethodOrgDesc,ShipMethodOrgCode,CartonCount,PieceCount
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,1
USA,Memphis,TN,"Memphis (MEM)","Kohler - Sheridan, AR (TVY)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,1
USA,Chicago,IL,"Chicago (Itasca) (ORD)","Kohler - Kohler, WI (TVB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",0,"Purolator Ground",122,0,0
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,4
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,4
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,4
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,4
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,4
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,4
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,4
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,4
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,6
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,6
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,6
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,6
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,6
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,6
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,4
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,4
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,4
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,4
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,2
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,2
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,6
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,6
USA,Memphis,TN,"Memphis (MEM)","Kohler - Desoto, TX (TWB)","Shipment Data Retrieved","Purolator Ground","2020-04-20 00:00:00",1,"Purolator Ground",122,0,6
